pais,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
São Tomé e Príncipe,32.0,27.0,25.0,30.0,43.0,43.0,41.0,41.0,36.0,35.0,32.0,32.0,34.0,32.0,32.0
Arábia Saudita,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senegal,76.0,83.0,77.0,76.0,75.0,70.0,59.0,66.0,68.0,60.0,66.0,60.0,55.0,54.0,54.0
Sérvia,1878.0,2082.0,2495.0,1894.0,1694.0,1877.0,1487.0,1089.0,850.0,796.0,819.0,822.0,782.0,812.0,848.0
Seicheles,11.0,9.0,9.0,11.0,15.0,13.0,11.0,19.0,23.0,29.0,29.0,10.0,12.0,17.0,17.0
Serra Leoa,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,6.0,4.0,3.0,3.0
Singapura,119.0,111.0,99.0,117.0,130.0,128.0,125.0,136.0,138.0,127.0,136.0,159.0,174.0,157.0,157.0
Eslováquia,650.0,700.0,687.0,633.0,732.0,694.0,731.0,979.0,935.0,638.0,666.0,690.0,665.0,645.0,613.0
Eslovênia,687.0,799.0,750.0,762.0,760.0,719.0,634.0,651.0,752.0,811.0,748.0,735.0,868.0,772.0,670.0
Ilhas Salomão,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0
Somália,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
África do Sul,3557.0,3558.0,3384.0,3463.0,3533.0,3612.0,3681.0,3951.0,4251.0,4369.0,4393.0,4211.0,3905.0,3138.0,4000.0
Espanha,13100.0,12168.0,11271.0,10896.0,9950.0,9850.0,9820.0,9810.0,9810.0,9850.0,10463.0,10741.0,10222.0,9218.0,10311.0
Sri Lanka,7.0,2.0,2.0,2.0,5.0,8.0,10.0,12.0,11.0,12.0,12.0,14.0,15.0,11.0,11.0
Palestina,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Sudão,1.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0
Suriname,5.0,4.0,4.0,4.0,7.0,7.0,4.0,5.0,4.0,4.0,4.0,6.0,8.0,9.0,9.0
Suécia,1768.0,2008.0,2154.0,2224.0,2295.0,2312.0,2375.0,2344.0,2330.0,2370.0,2348.0,2063.0,2025.0,2130.0,2123.0
Suíça,2920.0,2911.0,2885.0,2935.0,2872.0,2824.0,2877.0,2827.0,2805.0,2699.0,2481.0,2439.0,2553.0,2503.0,2551.0
Síria,3.0,3.0,4.0,3.0,4.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0
Taiwan,217.0,161.0,135.0,132.0,166.0,170.0,166.0,168.0,187.0,210.0,216.0,216.0,208.0,196.0,196.0
Tajiquistão,30.0,20.0,11.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,6.0,6.0,4.0,4.0
Tanzânia,34.0,37.0,36.0,39.0,43.0,50.0,57.0,54.0,46.0,45.0,43.0,34.0,29.0,29.0,29.0
Tailândia,79.0,61.0,42.0,58.0,65.0,80.0,72.0,66.0,50.0,24.0,22.0,35.0,22.0,10.0,10.0
Timor-Leste,1.0,2.0,3.0,3.0,4.0,6.0,6.0,3.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0
Togo,97.0,94.0,69.0,51.0,62.0,75.0,68.0,57.0,57.0,48.0,9.0,3.0,1.0,0.0,0.0
Tonga,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trinidad e Tobago,12.0,10.0,10.0,9.0,9.0,11.0,15.0,21.0,28.0,22.0,12.0,10.0,10.0,11.0,11.0
Tunísia,126.0,191.0,191.0,177.0,195.0,258.0,272.0,309.0,308.0,307.0,302.0,308.0,315.0,318.0,318.0
Turcomenistão,193.0,190.0,170.0,397.0,391.0,391.0,391.0,387.0,383.0,385.0,385.0,389.0,391.0,390.0,390.0
Tuvalu,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Uganda,3.0,10.0,6.0,11.0,15.0,14.0,21.0,21.0,22.0,23.0,23.0,28.0,22.0,12.0,12.0
Ucrânia,2691.0,2612.0,2481.0,2487.0,2792.0,2571.0,2192.0,1748.0,1495.0,1242.0,987.0,912.0,1400.0,1050.0,1122.0
Reino Unido,13702.0,13483.0,12680.0,12900.0,12860.0,12801.0,12738.0,12562.0,12781.0,12935.0,13148.0,12904.0,13034.0,13400.0,13403.0
Estados Unidos,27850.0,27700.0,27250.0,27350.0,29064.0,30064.0,30787.0,30635.0,30927.0,30959.0,32698.0,33611.0,34175.0,32859.0,33077.0
Uruguai,802.0,790.0,747.0,712.0,690.0,641.0,683.0,647.0,640.0,609.0,647.0,645.0,648.0,692.0,646.0
Uzbequistão,237.0,238.0,121.0,130.0,154.0,159.0,284.0,238.0,199.0,185.0,130.0,112.0,133.0,157.0,157.0
Vanuatu,2.0,2.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0
Venezuela,270.0,253.0,197.0,178.0,173.0,205.0,163.0,100.0,59.0,23.0,24.0,24.0,24.0,24.0,24.0
Vietnã,82.0,74.0,88.0,102.0,124.0,115.0,117.0,121.0,122.0,124.0,126.0,126.0,120.0,120.0,120.0
Iêmen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zâmbia,7.0,9.0,7.0,5.0,6.0,9.0,14.0,30.0,36.0,36.0,42.0,34.0,29.0,27.0,27.0
Zimbábue,31.0,38.0,41.0,38.0,35.0,36.0,38.0,42.0,48.0,41.0,35.0,38.0,34.0,22.0,22.0
